Viabilidade do campeão	TOP	JUNGLE	MID	ADC 	SUP
Rell	0,3	0,1	0,0	0,0	742,4
Renata Glasc	0,0	0,0	0,0	0,1	491,7
Renekton	935,0	0,3	13,7	0,1	0,2
Rengar	12,5	825,5	0,0	0,5	3,1
Riven	634,7	63,4	11,2	0,1	0,4
Rumble	488,5	14,9	14,7	0,1	3,5
Ryze	69,2	0,2	640,2	0,4	0,4
Samira	0,3	0,0	1,0	1020,6	0,2
Sejuani	33,3	512,6	1,4	0,0	6,7
Senna	2,3	0,0	0,7	30,5	832,7
Seraphine	0,1	0,0	6,4	10,3	1105,5
Sett	1168,4	3,8	7,0	0,2	11,4
Shaco	7,6	726,7	0,4	0,1	151,8
Shen	531,1	12,2	3,4	0,1	97,1
Shyvana	10,1	483,6	0,7	0,0	0,1
Singed	603,6	5,4	6,3	0,9	7,7
Sion	713,8	27,3	29,7	1,4	17,8
Sivir	0,2	0,0	1,2	1018,6	0,2
Skarner	20,1	302,9	0,3	0,0	11,8
Smolder	26,3	0,0	79,5	1150,5	0,4
Sona	0,1	0,0	0,2	0,1	742,8
Soraka	1,0	0,0	0,5	0,1	974,9
Swain	48,9	0,0	97,7	40,3	595,9
Sylas	18,5	744,6	474,4	0,2	27,3
Syndra	1,5	0,0	1017,0	3,7	4,4
Tahm Kench	116,0	0,3	1,8	1,3	586,5
Taliyah	0,8	41,7	453,3	2,1	7,9
Talon	0,9	441,6	199,5	0,0	0,2
Taric	3,2	3,2	0,2	0,1	496,9
Teemo	683,8	76,9	12,5	2,8	99,3
Thresh	0,4	0,0	0,1	0,3	1419,1
Tristana	1,5	0,1	27,9	1152,3	0,4
Trundle	134,7	512,9	0,5	0,1	2,9
Tryndamere	604,0	41,0	21,9	0,2	0,3
Twisted Fate	5,0	0,5	703,3	3,7	7,4
Twitch	0,5	10,8	16,1	715,3	29,0
Udyr	45,4	482,2	1,2	0,1	0,6
Urgot	735,2	2,1	2,8	0,4	0,8
Varus	64,2	0,0	22,6	747,2	2,7
Vayne	116,5	1,5	3,0	1027,7	0,4
Veigar	6,1	0,0	914,2	26,2	45,5
Vel'Koz	2,0	0,0	140,2	7,5	593,2
Vex	1,3	0,0	831,3	0,4	4,7
Vi	3,8	771,5	1,6	0,0	3,0
Viego	1,8	1525,5	2,1	0,0	0,3
Viktor	4,5	0,0	1062,0	0,7	0,5
Vladimir	260,1	0,0	470,4	0,5	0,2
Volibear	353,3	422,3	1,3	0,0	1,0
Warwick	92,3	938,9	0,4	0,0	0,5
Wukong	68,9	627,0	3,5	0,2	3,2
Xayah	0,2	0,0	0,2	916,0	0,1
Xerath	0,4	0,0	422,0	3,1	464,3
Xin Zhao	12,6	832,7	4,4	0,2	1,5
Yasuo	175,1	0,3	1027,8	29,3	1,2
Yone	438,2	0,9	711,3	1,0	0,6
Yorick	914,3	8,2	9,9	0,2	0,9
Yunara	0,4	0,0	1,0	1177,1	0,2
Yuumi	0,4	0,2	0,3	0,1	939,0
Zaahen	1285,5	174,1	14,1	0,3	4,1
Zac	45,1	487,9	6,1	0,1	31,0
Zed	4,9	309,1	719,9	0,2	1,5
Zeri	0,8	0,5	2,3	746,5	0,1
Ziggs	1,4	0,0	153,3	445,9	22,1
Zilean	3,3	0,0	16,7	0,4	588,7
Zoe	1,1	0,0	711,0	0,7	69,8
Zyra	0,6	31,1	9,9	1,4	833,8
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
